"Klub","Město","Stadion"
"AC Sparta Praha","Praha","Generali Arena"
"SK Slavia Praha","Praha","Eden Arena"
"FC Viktoria Plzeň","Plzeň","Doosan Arena"
"FC Baník Ostrava","Ostrava","Městský stadion"
"FC Slovan Liberec","Liberec","Stadion u Nisy"
"1. FK Příbram","Příbram","Stadion Na Litavce"
"FK Mladá Boleslav","Mladá Boleslav","Městský stadion"
"FC Zbrojovka Brno","Brno","Stadion Srbská"
"SK Dynamo České Budějovice","České Budějovice","Stadion Střelecký ostrov"
"FC Fastav Zlín","Zlín","Letná"
"Sigma Olomouc","Olomouc","Andrův stadion"
"FC Vysočina Jihlava","Jihlava","Stadion v Jiráskově ulici"
"Bohemians 1905","Praha","Stadion Ďolíček"
"SK Sigma Hranice","Hranice","Stadion SK Sigma Hranice"
"FK Karviná","Karviná","Městský stadion"
"FC Slovan Hradec Králové","Hradec Králové","Stadion Hradec Králové"
